sch_ID,sch_Name,sch_PhoneNo,sch_Email,sch_Address,sch_Code,sch_Year,sch_Status
78,"SMK ST MICHAEL IPOH PERAK",,,,1AC032,,
79,"SEK MEN KEB ST MICHAEL IPOH (CALON PERSENDIRIAN)",,,,2AC032,,
80,"SMK METHODIST ACS IPOH PERAK",,,,1AC036,,
81,"SMK METHODIST ACS IPOH PERAK",,,,1AC037,,
82,"SEK MEN KEB METHODIST (ACS) (CALON PERSENDIRIAN)",,,,2AC037,,
83,"SMK RAJA PEREMPUAN IPOH PERAK",,,,1AC041,,
84,"SEK MEN KEB RAJA PEREMPUAN IPOH (CALON PERSENDIRIAN)",,,,2AC041,,
85,"SMK PEREMPUAN METHODIST IPOH PERAK",,,,1AC046,,
86,"SMK PEREMPUAN METHODIST IPOH PERAK",,,,1AC047,,
87,"SMK CONVENT IPOH PERAK",,,,1AC051,,
88,"SMK CONVENT IPOH PERAK",,,,1AC052,,
89,"SMK TARCISIAN CONVENT IPOH PERAK",,,,1AC056,,
90,"SMK TARCISIAN CONVENT IPOH PERAK",,,,1AC057,,
91,"SMK PEREMPUAN PERAK IPOH PERAK",,,,1AC061,,
92,"SMK PEREMPUAN PERAK IPOH PERAK",,,,1AC062,,
93,"SMK PEREMPUAN PERAK IPOH PERAK",,,,1AC063,,
94,"SMK PEREMPUAN PERAK IPOH (CALON PERSENDIRIAN)",,,,2AC063,,
95,"SMJK AVE MARIA CONVENT IPOH PERAK",,,,1AC066,,
96,"SMJK AVE MARIA CONVENT IPOH PERAK",,,,1AC067,,
97,"SMJK AVE MARIA CONVENT IPOH PERAK",,,,1AC068,,
98,"SMJK SAM TET IPOH PERAK",,,,1AC071,,
99,"SMJK SAM TET IPOH PERAK",,,,1AC072,,
100,"SMJK SAM TET IPOH PERAK",,,,1AC073,,
101,"SMK POI LAM IPOH PERAK",,,,1AC076,,
102,"SMK POI LAM IPOH PERAK",,,,1AC077,,
103,"SMK POI LAM IPOH PERAK",,,,1AC078,,
104,"SMK POI LAM IPOH (CALON PERSENDIRIAN)",,,,2AC078,,
105,"SMJK YUK CHOY IPOH PERAK",,,,1AC081,,
106,"SMJK YUK CHOY IPOH PERAK",,,,1AC082,,
107,"SMJK YUK CHOY IPOH PERAK",,,,1AC083,,
108,"SMJK YUK CHOY IPOH PERAK",,,,1AC084,,
109,"SEKOLAH MENENGAH KEBANGSAAN SERI INTAN IPOH PERAK",,,,1AC086,,
110,"SMK SERI SANTAN IPOH (CALON PERSENDIRIAN)",,,,2AC086,,
111,"SMK SERI PUTERI IPOH PERAK",,,,1AC091,,
112,"SMK SERI PUTERI IPOH PERAK",,,,1AC092,,
113,"SEK MEN KEB SERI PUTERI IPOH(CALON PERSENDIRIAN)",,,,2AC092,,
114,"SMK SUNGAI PARI IPOH PERAK",,,,1AC096,,
115,"SEK MEN KEB SERI PUTERA IPOH PERAK",,,,1AC101,,
116,"CALON PERSENDIRIAN PERSEORANGAN PERAK",,,,2AC101,,
117,"SMK DOKTOR MEGAT KHAS IPOH PERAK",,,,1AC106,,
118,"SMK DOKTOR MEGAT KHAS IPOH PERAK",,,,1AC107,,
119,"SMK DR MEGAT KHAS IPOH (CALON PERSENDIRIAN)",,,,2AC107,,
120,"SMK SERI IPOH IPOH PERAK",,,,1AC111,,
121,"SMK MENGLEMBU IPOH PERAK",,,,1AC116,,
122,"SEKOLAH MENENGAH MENGLEMBU IPOH PERAK",,,,1AC117,,
123,"SEKOLAH TUANKU ABDUL RAHMAN IPOH PERAK",,,,1AC121,,
124,"SEKOLAH RAJA PEREMPUAN TAAYAH  IPOH PERAK",,,,1AC126,,
125,"SEK MEN AGAMA IZZUDDIN SHAH IPOH PERAK",,,,1AC131,,
126,"SEK MEN KEB SIMPANG PULAI PERAK",,,,1AC136,,
127,"SEKOLAH MENENGAH POI LAM SUWA IPOH PERAK",,,,1AC141,,
128,"SEKOLAH TINGGI METHODIST IPOH PERAK",,,,1AC147,,
129,"SEKOLAH MENENGAH SHEN JAI IPOH PERAK",,,,2AC147,,
130,"CALON PERSENDIRIAN PERSEORANGAN PERAK",,,,3AC147,,
131,"SMK JALAN TASEK IPOH PERAK",,,,1AC151,,
132,"SMK JALAN TASEK IPOH PERAK",,,,1AC152,,
133,"SMK JALAN TASEK IPOH PERAK",,,,1AC153,,
134,"CALON PERSENDIRIAN PERSEORANGAN PERAK",,,,2AC153,,
135,"SMK KG DATO AHMAD SAID IPOH PERAK",,,,1AC161,,
136,"SMK KG DATO AHMAD SAID IPOH PERAK",,,,1AC162,,
137,"MA'AHAD AL-IMAM ASY-SYAFIEE IPOH PERAK",,,,2AC162,,
138,"SEK MEN KEB KAMPUNG PASIR PUTEH IPOH PERAK",,,,1AC166,,
139,"SEK MEN KEB KAMPUNG PASIR PUTEH IPOH PERAK",,,,1AC167,,
140,"SMK SERI AMPANG IPOH PERAK",,,,1AC176,,
141,"SEKOLAH MENENGAH KEBANGSAAN SERI AMPANG IPOH PERAK",,,,1AC177,,
142,"SMK SERI AMPANG IPOH (CALON PERSENDIRIAN)",,,,2AC177,,
143,"SMK LAHAT IPOH PERAK",,,,1AC181,,
144,"SEKOLAH MENENGAH KEBANGSAAN ULU KINTA PERAK",,,,1AC201,,
145,"SEKOLAH MENENGAH KEBANGSAAN ULU KINTA PERAK",,,,1AC202,,
146,"SEKOLAH MENENGAH KEBANGSAAN ULU KINTA PERAK",,,,1AC203,,
147,"SEKOLAH MENENGAH KEBANGSAAN CHEMOR PERAK",,,,1AC226,,
148,"SEKOLAH MENENGAH KEBANGSAAN CHEMOR PERAK",,,,1AC227,,
149,"SMK AMINUDDIN BAKI CHEMOR PERAK",,,,1AC231,,
150,"SMK AMINUDDIN BAKI CHEMOR PERAK",,,,1AC232,,
151,"SEK MEN KEB AMINUDDIN BAKI CHEMOR (CALON PERSENDIRIAN)",,,,2AC232,,
152,"MAAHAD AL UMMAH CHEMOR PERAK",,,,1AC236,,
153,"SMK PANGLIMA BUKIT GANTANG PARIT BUNTAR PERAK",,,,1AD001,,
154,"SMK PANGLIMA BUKIT GANTANG PARIT BUNTAR PERAK",,,,1AD002,,
155,"SMK SERI PERAK PARIT BUNTAR PERAK",,,,1AD006,,
156,"SEKOLAH MENENGAH KEBANGSAAN SERI PERAK PARIT BUNTAR",,,,1AD007,,
157,"SEK MEN KEB SERI PERAK PT BUNTAR (CALON PERSENDIRIAN)",,,,2AD007,,
158,"SMK METHODIST PARIT BUNTAR PERAK",,,,1AD011,,
159,"SMK METHODIST PARIT BUNTAR PERAK",,,,1AD012,,
160,"CALON PERSENDIRIAN PERSEORANGAN PERAK",,,,2AD012,,
161,"SMJK KERIAN PERAK",,,,1AD016,,
162,"SMJK KERIAN PERAK",,,,1AD017,,
163,"SMJK KERIAN PERAK",,,,1AD018,,
164,"SEKOLAH MENENGAH AGAMA AL-TAHZIB PARIT BUNTAR PERAK",,,,1AD021,,
165,"SMK ALANG ISKANDAR ISKANDAR BAGAN SERAI PERAK",,,,1AD051,,
166,"SMK ALANG ISKANDAR BAGAN SERAI PERAK",,,,1AD052,,
167,"SMK ALOR PONGSU BAGAN SERAI PERAK",,,,1AD056,,
168,"CALON PERSENDIRIAN PERSEORANGAN PERAK",,,,2AD056,,
169,"SMK KUALA KURAU KUALA KURAU PERAK",,,,1AD061,,
170,"SMK ABU BAKAR AL-BAQIR BAGAN SERAI PERAK",,,,1AD066,,
171,"SEK MEN KEB SRI KURAU JALAN SIAKAP BAGAN SERAI PERAK",,,,1AD071,,
